model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,229,multi-hop,66.1653,0.0,77.4716,0,1,0,119,375,375,48384000000,48384000000,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,230,structural,64.3647,0.0,0.0,0,1,1,67,323,323,35895853056,35895853056,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,231,semantic,63.144,0.0,0.0,0,1,1,85,341,341,40008105984,40008105984,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,232,structural,111.8968,0.0,0.0,0,1,1,192,448,448,69055021056,69055021056,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,233,structural,50.7991,77.9613,75.8108,0,0,0,4,260,260,23258726400,23258726400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,234,semantic,63.2338,0.0,0.0,0,1,1,129,385,385,50998886400,50998886400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,235,multi-hop,0.0,0.0,0.0,1,1,1,128,384,384,50734301184,50734301184,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,236,multi-hop,62.2966,0.0,79.0631,0,1,0,104,360,360,44590694400,44590694400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,237,structural,64.8108,72.5735,77.128,0,0,0,111,367,367,46341636096,46341636096,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,238,multi-hop,47.5724,53.335,52.7072,0,0,0,120,376,376,48642392064,48642392064,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,239,structural,77.677,101.6884,106.6963,0,0,0,29,285,285,27946598400,27946598400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,240,multi-hop,71.5777,0.0,0.0,0,1,1,156,412,412,58402799616,58402799616,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,241,multi-hop,61.6682,0.0,0.0,0,1,1,72,328,328,37015781376,37015781376,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,242,multi-hop,38.3219,40.4172,40.8004,0,0,0,120,376,376,48642392064,48642392064,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,243,multi-hop,87.6826,101.2187,96.0516,0,0,0,120,376,376,48642392064,48642392064,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,244,semantic,64.992,0.0,78.996,0,1,0,101,357,357,43850612736,43850612736,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,245,multi-hop,61.5021,75.5914,0.0,0,0,1,99,355,355,43360665600,43360665600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,246,structural,55.6602,0.0,0.0,0,1,1,8,264,264,23979884544,23979884544,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,247,structural,64.89,0.0,0.0,0,1,1,104,360,360,44590694400,44590694400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,248,semantic,64.9859,0.0,0.0,0,1,1,98,354,354,43116724224,43116724224,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,249,multi-hop,46.0906,0.0,55.1186,0,1,0,24,280,280,26974617600,26974617600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,250,semantic,61.5008,0.0,73.0338,0,1,0,106,362,362,45087522816,45087522816,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,251,multi-hop,64.9149,0.0,0.0,0,1,1,93,349,349,41907339264,41907339264,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,252,multi-hop,75.1568,0.0,75.5357,0,1,0,131,387,387,51530121216,51530121216,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,253,multi-hop,0.0,73.2736,0.0,1,0,1,4,260,260,23258726400,23258726400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,254,multi-hop,45.9883,45.3935,48.1485,0,0,0,42,298,298,30554259456,30554259456,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,255,multi-hop,61.6289,0.0,0.0,0,1,1,122,378,378,49161240576,49161240576,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,256,multi-hop,57.8219,56.9049,47.1231,0,0,0,60,316,316,34356854784,34356854784,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,257,semantic,63.955,0.0,0.0,0,1,1,96,352,352,42630905856,42630905856,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,258,multi-hop,60.0297,0.0,69.4358,0,1,0,104,360,360,44590694400,44590694400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,259,multi-hop,56.9455,0.0,0.0,0,1,1,80,336,336,38843449344,38843449344,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,260,structural,55.8523,0.0,0.0,0,1,1,25,281,281,27167637504,27167637504,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,261,semantic,0.0,0.0,0.0,1,1,1,84,340,340,39773798400,39773798400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,262,multi-hop,66.2886,76.028,75.7198,0,0,0,108,364,364,45587103744,45587103744,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,263,semantic,66.732,0.0,0.0,0,1,1,129,385,385,50998886400,50998886400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,264,semantic,67.318,0.0,0.0,0,1,1,92,348,348,41667526656,41667526656,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,265,semantic,60.4267,0.0,70.2159,0,1,0,115,371,371,47357313024,47357313024,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,266,semantic,61.7821,0.0,66.7921,0,1,0,111,367,367,46341636096,46341636096,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,267,structural,50.9205,57.7517,0.0,0,0,1,95,351,351,42389028864,42389028864,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,268,structural,49.1302,58.1133,0.0,0,0,1,112,368,368,46594523136,46594523136,8.317,0.107
