source_file,k,policy,baseline,metric,questions,mean_delta,ci_low,ci_high
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,cosine,em,200,0.0,0.0,0.0
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,cosine,f1,200,0.0017454999999999992,-0.0056600125,0.009645249999999996
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,cosine,em,200,0.0,0.0,0.0
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,cosine,f1,200,0.0025815,-0.0044623,0.009676549999999999
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,graph,cosine,em,200,-0.005,-0.025,0.01
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,graph,cosine,f1,200,-0.004041999999999997,-0.0225216875,0.013936699999999998
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,adaptive,cosine,em,200,0.0,-0.02,0.02
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,adaptive,cosine,f1,200,-0.007000500000000001,-0.0297721375,0.014923399999999993
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,graph,cosine,em,200,-0.02,-0.045,0.0
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,graph,cosine,f1,200,-0.0390855,-0.06645957499999999,-0.013273512500000006
