split,m,k,policy,query_type,events,prediction_recall,candidate_coverage,mean_target_rank,median_target_rank,mean_candidate_universe,online_update_rate
dev,15,10,semantic_only,all,600,0.8733333333333333,0.92,3.7028985507246377,3.0,19.436666666666667,0.0
dev,15,10,semantic_only,multi-hop,300,0.88,0.92,3.8659420289855073,3.0,19.216666666666665,0.0
dev,15,10,semantic_only,semantic,150,0.9733333333333334,0.9866666666666668,2.581081081081081,2.0,20.19333333333333,0.0
dev,15,10,semantic_only,structural,150,0.76,0.8533333333333334,4.6484375,3.0,19.12,0.0
dev,15,10,structure,all,600,0.91,0.9216666666666666,3.602169981916817,3.0,19.55666666666667,0.0
dev,15,10,structure,multi-hop,300,0.9066666666666666,0.92,3.652173913043478,3.0,19.346666666666668,0.0
dev,15,10,structure,semantic,150,0.98,0.9866666666666668,3.418918918918919,4.0,20.30666666666667,0.0
dev,15,10,structure,structural,150,0.8466666666666667,0.86,3.705426356589147,3.0,19.226666666666667,0.0
dev,15,10,two_hop,all,600,0.94,1.0,5.585,4.0,132.71333333333334,0.0
dev,15,10,two_hop,multi-hop,300,0.9433333333333334,1.0,6.116666666666666,4.0,133.99666666666667,0.0
dev,15,10,two_hop,semantic,150,0.9666666666666668,1.0,4.806666666666667,4.0,131.42666666666668,0.0
dev,15,10,two_hop,structural,150,0.9066666666666666,1.0,5.3,4.0,131.43333333333334,0.0
dev,15,16,cosine,all,600,0.9083333333333332,1.0,13.755,3.0,1222.0,0.0
dev,15,16,cosine,multi-hop,300,0.9066666666666666,1.0,13.59,3.0,1222.0,0.0
dev,15,16,cosine,semantic,150,0.98,1.0,3.52,2.0,1222.0,0.0
dev,15,16,cosine,structural,150,0.84,1.0,24.32,4.0,1222.0,0.0
dev,15,16,offline,all,600,0.9983333333333332,1.0,4.526666666666666,4.0,132.71333333333334,0.0
dev,15,16,offline,multi-hop,300,1.0,1.0,4.343333333333334,4.0,133.99666666666667,0.0
dev,15,16,offline,semantic,150,1.0,1.0,5.786666666666667,5.0,131.42666666666668,0.0
dev,15,16,offline,structural,150,0.9933333333333332,1.0,3.633333333333333,3.0,131.43333333333334,0.0
dev,15,16,online,all,600,0.9983333333333332,1.0,4.526666666666666,4.0,132.71333333333334,0.0016666666666666
dev,15,16,online,multi-hop,300,1.0,1.0,4.343333333333334,4.0,133.99666666666667,0.0
dev,15,16,online,semantic,150,1.0,1.0,5.786666666666667,5.0,131.42666666666668,0.0
dev,15,16,online,structural,150,0.9933333333333332,1.0,3.633333333333333,3.0,131.43333333333334,0.0066666666666666
dev,15,16,semantic_only,all,600,0.9066666666666666,0.92,3.7028985507246377,3.0,19.436666666666667,0.0
dev,15,16,semantic_only,multi-hop,300,0.9033333333333332,0.92,3.8659420289855073,3.0,19.216666666666665,0.0
dev,15,16,semantic_only,semantic,150,0.98,0.9866666666666668,2.581081081081081,2.0,20.19333333333333,0.0
dev,15,16,semantic_only,structural,150,0.84,0.8533333333333334,4.6484375,3.0,19.12,0.0
dev,15,16,structure,all,600,0.9166666666666666,0.9216666666666666,3.602169981916817,3.0,19.55666666666667,0.0
dev,15,16,structure,multi-hop,300,0.9133333333333332,0.92,3.652173913043478,3.0,19.346666666666668,0.0
dev,15,16,structure,semantic,150,0.9866666666666668,0.9866666666666668,3.418918918918919,4.0,20.30666666666667,0.0
dev,15,16,structure,structural,150,0.8533333333333334,0.86,3.705426356589147,3.0,19.226666666666667,0.0
dev,15,16,two_hop,all,600,0.9733333333333334,1.0,5.585,4.0,132.71333333333334,0.0
dev,15,16,two_hop,multi-hop,300,0.97,1.0,6.116666666666666,4.0,133.99666666666667,0.0
dev,15,16,two_hop,semantic,150,0.9933333333333332,1.0,4.806666666666667,4.0,131.42666666666668,0.0
dev,15,16,two_hop,structural,150,0.96,1.0,5.3,4.0,131.43333333333334,0.0
dev,20,6,cosine,all,600,0.7833333333333333,1.0,13.755,3.0,1222.0,0.0
dev,20,6,cosine,multi-hop,300,0.77,1.0,13.59,3.0,1222.0,0.0
dev,20,6,cosine,semantic,150,0.9333333333333332,1.0,3.52,2.0,1222.0,0.0
dev,20,6,cosine,structural,150,0.66,1.0,24.32,4.0,1222.0,0.0
dev,20,6,offline,all,600,0.8083333333333333,1.0,4.513333333333334,4.0,211.4333333333333,0.0
dev,20,6,offline,multi-hop,300,0.8266666666666667,1.0,4.34,4.0,214.4833333333333,0.0
dev,20,6,offline,semantic,150,0.6733333333333333,1.0,5.82,5.0,208.30666666666667,0.0
dev,20,6,offline,structural,150,0.9066666666666666,1.0,3.553333333333333,3.0,208.46,0.0
dev,20,6,online,all,600,0.805,1.0,4.788333333333333,4.0,211.4333333333333,0.195
dev,20,6,online,multi-hop,300,0.81,1.0,4.816666666666666,4.0,214.4833333333333,0.19
dev,20,6,online,semantic,150,0.7466666666666667,1.0,5.293333333333333,5.0,208.30666666666667,0.2533333333333333
dev,20,6,online,structural,150,0.8533333333333334,1.0,4.226666666666667,3.0,208.46,0.1466666666666666
dev,20,6,semantic_only,all,600,0.7833333333333333,0.93,3.8960573476702502,3.0,25.935,0.0
dev,20,6,semantic_only,multi-hop,300,0.77,0.93,4.064516129032258,3.0,25.88,0.0
dev,20,6,semantic_only,semantic,150,0.9333333333333332,0.9866666666666668,2.5878378378378377,2.0,26.76,0.0
dev,20,6,semantic_only,structural,150,0.66,0.8733333333333333,5.015267175572519,3.0,25.22,0.0
dev,20,6,structure,all,600,0.8733333333333333,0.9316666666666666,3.649373881932021,3.0,26.031666666666663,0.0
dev,20,6,structure,multi-hop,300,0.8633333333333333,0.93,3.684587813620072,3.0,25.99333333333333,0.0
dev,20,6,structure,semantic,150,0.98,0.9866666666666668,3.425675675675676,4.0,26.84,0.0
dev,20,6,structure,structural,150,0.7866666666666666,0.88,3.825757575757576,3.5,25.3,0.0
dev,20,6,two_hop,all,600,0.7816666666666666,1.0,5.411666666666667,4.0,211.4333333333333,0.0
dev,20,6,two_hop,multi-hop,300,0.7866666666666666,1.0,5.77,4.0,214.4833333333333,0.0
dev,20,6,two_hop,semantic,150,0.8,1.0,4.806666666666667,4.0,208.30666666666667,0.0
dev,20,6,two_hop,structural,150,0.7533333333333333,1.0,5.3,4.0,208.46,0.0
dev,20,10,cosine,all,600,0.8733333333333333,1.0,13.755,3.0,1222.0,0.0
dev,20,10,cosine,multi-hop,300,0.88,1.0,13.59,3.0,1222.0,0.0
dev,20,10,cosine,semantic,150,0.9733333333333334,1.0,3.52,2.0,1222.0,0.0
dev,20,10,cosine,structural,150,0.76,1.0,24.32,4.0,1222.0,0.0
dev,20,10,offline,all,600,0.9766666666666668,1.0,4.513333333333334,4.0,211.4333333333333,0.0
dev,20,10,offline,multi-hop,300,0.9766666666666668,1.0,4.34,4.0,214.4833333333333,0.0
dev,20,10,offline,semantic,150,0.9666666666666668,1.0,5.82,5.0,208.30666666666667,0.0
dev,20,10,offline,structural,150,0.9866666666666668,1.0,3.553333333333333,3.0,208.46,0.0
dev,20,10,online,all,600,0.975,1.0,4.475,4.0,211.4333333333333,0.025
dev,20,10,online,multi-hop,300,0.9733333333333334,1.0,4.323333333333333,4.0,214.4833333333333,0.0266666666666666
dev,20,10,online,semantic,150,0.9666666666666668,1.0,5.666666666666667,5.0,208.30666666666667,0.0333333333333333
dev,20,10,online,structural,150,0.9866666666666668,1.0,3.5866666666666664,3.0,208.46,0.0133333333333333
dev,20,10,semantic_only,all,600,0.8733333333333333,0.93,3.8960573476702502,3.0,25.935,0.0
dev,20,10,semantic_only,multi-hop,300,0.88,0.93,4.064516129032258,3.0,25.88,0.0
dev,20,10,semantic_only,semantic,150,0.9733333333333334,0.9866666666666668,2.5878378378378377,2.0,26.76,0.0
dev,20,10,semantic_only,structural,150,0.76,0.8733333333333333,5.015267175572519,3.0,25.22,0.0
dev,20,10,structure,all,600,0.92,0.9316666666666666,3.649373881932021,3.0,26.031666666666663,0.0
dev,20,10,structure,multi-hop,300,0.9166666666666666,0.93,3.684587813620072,3.0,25.99333333333333,0.0
dev,20,10,structure,semantic,150,0.98,0.9866666666666668,3.425675675675676,4.0,26.84,0.0
dev,20,10,structure,structural,150,0.8666666666666667,0.88,3.825757575757576,3.5,25.3,0.0
dev,20,10,two_hop,all,600,0.94,1.0,5.411666666666667,4.0,211.4333333333333,0.0
dev,20,10,two_hop,multi-hop,300,0.9433333333333334,1.0,5.77,4.0,214.4833333333333,0.0
dev,20,10,two_hop,semantic,150,0.9666666666666668,1.0,4.806666666666667,4.0,208.30666666666667,0.0
dev,20,10,two_hop,structural,150,0.9066666666666666,1.0,5.3,4.0,208.46,0.0
dev,20,16,cosine,all,600,0.9083333333333332,1.0,13.755,3.0,1222.0,0.0
dev,20,16,cosine,multi-hop,300,0.9066666666666666,1.0,13.59,3.0,1222.0,0.0
dev,20,16,cosine,semantic,150,0.98,1.0,3.52,2.0,1222.0,0.0
